condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
123	layer5 U | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 H	null	null	true	
124	layer5 U | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 I	null	null	true	
125	layer5 U | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 J	null	null	true	
126	layer5 U | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 K	null	null	true	
127	layer5 U | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 L	null	null	true	
128	layer5 U | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 M	null	null	true	
129	layer5 U | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 N	null	null	true	
130	layer5 U | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 O	null	null	true	
131	layer5 U | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 P	null	null	true	
132	layer5 U | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 Q	null	null	true	
133	layer5 U | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 R	null	null	true	
134	layer5 U | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 S	null	null	true	
135	layer5 U | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 U;5 Z	null	null	false	
