strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
UNNRCL	U	N	N	R	C	L	231.24	0.0	0.0	0.0	9.84	4.92
UNOHWL	U	N	O	H	W	L	0.0	0.0	334.64	0.0	14.24	7.12
UNOHCL	U	N	O	H	C	L	0.0	780.1999999999999	0.0	0.0	33.2	16.6
UNORWL	U	N	O	R	W	L	278.24	0.0	0.0	0.0	11.84	5.92
UNORCM	U	N	O	R	C	M	76.14	0.0	0.0	0.0	3.24	1.62
UNORCL	U	N	O	R	C	L	0.0	895.82	0.0	0.0	38.12	19.06
UNPHWL	U	N	P	H	W	L	252.86	0.0	0.0	0.0	10.76	5.38
UNPHCL	U	N	P	H	C	L	477.52	0.0	0.0	0.0	20.32	10.16
UNPHAL	U	N	P	H	A	L	60.16	0.0	0.0	0.0	2.56	1.28
UNPRWL	U	N	P	R	W	L	476.58000000000004	0.0	0.0	0.0	20.28	10.14
UNPRCS	U	N	P	R	C	S	0.0	0.0	0.0	52.64	2.24	1.12
UNPRCM	U	N	P	R	C	M	57.34	0.0	0.0	0.0	2.44	1.22
UNPRCL	U	N	P	R	C	L	0.0	947.52	0.0	0.0	40.32	20.16
UNPRAL	U	N	P	R	A	L	97.76	0.0	0.0	0.0	4.16	2.08
UNSHWS	U	N	S	H	W	S	0.0	0.0	0.0	1096.04	46.64	23.32
UNSHWP	U	N	S	H	W	P	0.0	0.0	0.0	143.82	6.12	3.06
UNSHWM	U	N	S	H	W	M	0.0	217.14	0.0	0.0	9.24	4.62
UNSHWL	U	N	S	H	W	L	0.0	0.0	2067.06	0.0	87.96000000000001	43.980000000000004
UNSHCS	U	N	S	H	C	S	0.0	0.0	0.0	454.02	19.32	9.66
UNSHCP	U	N	S	H	C	P	0.0	0.0	0.0	169.20000000000002	7.2	3.6
UNSHCM	U	N	S	H	C	M	304.56	0.0	0.0	0.0	12.96	6.48
UNSHCL	U	N	S	H	C	L	0.0	4026.9600000000005	0.0	0.0	171.36	85.68
UNSHAS	U	N	S	H	A	S	0.0	0.0	0.0	176.72	7.5200000000000005	3.7600000000000002
UNSHAL	U	N	S	H	A	L	121.26	0.0	0.0	0.0	5.16	2.58
UNSHLL	U	N	S	H	L	L	138.18	0.0	0.0	0.0	5.88	2.94
UNSRPL	U	N	S	R	P	L	73.32	0.0	0.0	0.0	3.12	1.56
UNSRDM	U	N	S	R	D	M	55.46	0.0	0.0	0.0	2.36	1.18
UNSRDL	U	N	S	R	D	L	93.06	0.0	0.0	0.0	3.96	1.98
UNSRWS	U	N	S	R	W	S	0.0	0.0	0.0	901.46	38.36	19.18
UNSRWP	U	N	S	R	W	P	0.0	0.0	0.0	156.98	6.68	3.34
UNSRWM	U	N	S	R	W	M	0.0	312.08000000000004	0.0	0.0	13.280000000000001	6.640000000000001
UNSRWL	U	N	S	R	W	L	0.0	0.0	2783.34	0.0	118.44	59.22
UNSRCS	U	N	S	R	C	S	0.0	0.0	0.0	272.59999999999997	11.6	5.8
UNSRCP	U	N	S	R	C	P	0.0	0.0	0.0	244.4	10.4	5.2
UNSRCM	U	N	S	R	C	M	561.18	0.0	0.0	0.0	23.88	11.94
UNSRCL	U	N	S	R	C	L	0.0	6395.76	0.0	0.0	272.16	136.08
UNSRAS	U	N	S	R	A	S	0.0	0.0	0.0	79.89999999999999	3.4	1.7
UNSRAL	U	N	S	R	A	L	70.5	0.0	0.0	0.0	3.0	1.5
UNSRLL	U	N	S	R	L	L	179.54000000000002	0.0	0.0	0.0	7.640000000000001	3.8200000000000003
KRNLPM	K	R	N	L	P	M	0.0	984.18	0.0	0.0	41.88	20.94
KRNLPL	K	R	N	L	P	L	0.0	193.64	0.0	0.0	8.24	4.12
KRNLDM	K	R	N	L	D	M	150.4	0.0	0.0	0.0	6.4	3.2
KRNLDL	K	R	N	L	D	L	0.0	0.0	165.44	0.0	7.04	3.52
KRNLWS	K	R	N	L	W	S	0.0	0.0	0.0	89.3	3.8000000000000003	1.9000000000000001
KRNLWP	K	R	N	L	W	P	0.0	0.0	0.0	440.86	18.76	9.38
KRNLWM	K	R	N	L	W	M	2061.42	0.0	0.0	0.0	87.72	43.86
KRNLWL	K	R	N	L	W	L	0.0	0.0	3532.52	0.0	150.32	75.16
KRNLCP	K	R	N	L	C	P	0.0	0.0	0.0	94.94	4.04	2.02
KRNLCM	K	R	N	L	C	M	1016.14	0.0	0.0	0.0	43.24	21.62
KRNLCL	K	R	N	L	C	L	0.0	2451.52	0.0	0.0	104.32000000000001	52.160000000000004
KRNLIS	K	R	N	L	I	S	0.0	0.0	0.0	266.96	11.36	5.68
KRNLIP	K	R	N	L	I	P	0.0	0.0	0.0	331.82	14.120000000000001	7.0600000000000005
KRNLIM	K	R	N	L	I	M	0.0	0.0	1848.04	0.0	78.64	39.32
KRNLIL	K	R	N	L	I	L	0.0	3136.78	0.0	0.0	133.48	66.74
KRNLAS	K	R	N	L	A	S	0.0	0.0	0.0	66.74	2.84	1.42
KRNLAP	K	R	N	L	A	P	0.0	0.0	0.0	227.48	9.68	4.84
KRNLAM	K	R	N	L	A	M	0.0	0.0	783.02	0.0	33.32	16.66
KRNLAL	K	R	N	L	A	L	0.0	2630.12	0.0	0.0	111.92	55.96
KRNLLP	K	R	N	L	L	P	0.0	0.0	0.0	115.62	4.92	2.46
KRNLLM	K	R	N	L	L	M	611.94	0.0	0.0	0.0	26.04	13.02
KRNLLL	K	R	N	L	L	L	0.0	0.0	468.12	0.0	19.92	9.96
KRNHWL	K	R	N	H	W	L	57.34	0.0	0.0	0.0	2.44	1.22
KRNHCL	K	R	N	H	C	L	106.22	0.0	0.0	0.0	4.5200000000000005	2.2600000000000002
KRNCPM	K	R	N	C	P	M	2900.84	0.0	0.0	0.0	123.44	61.72
KRNCPL	K	R	N	C	P	L	0.0	2709.08	0.0	0.0	115.28	57.64
KRNCDM	K	R	N	C	D	M	0.0	0.0	459.66	0.0	19.56	9.78
KRNCDL	K	R	N	C	D	L	0.0	0.0	1246.44	0.0	53.04	26.52
