Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNSRLL	C	N	S	R	L	L	2477	8	Yes	
CNSRLM	C	N	S	R	L	M	2457	8	Yes	
CNSRLP	C	N	S	R	L	P	2377	4	Yes	
CNSRLS	C	N	S	R	L	S	65	1	Yes	
CNSRNN	C	N	S	R	N	N	601	not found	Yes	
CNSRPL	C	N	S	R	P	L	108	8	Yes	
CNSRPM	C	N	S	R	P	M	407	8	Yes	
CNSRPP	C	N	S	R	P	P	193	not found	Yes	
CNSRPS	C	N	S	R	P	S	62	2	Yes	
CNSRWL	C	N	S	R	W	L	1161	8	Yes	
CNSRWM	C	N	S	R	W	M	955	8	Yes	
CNSRWP	C	N	S	R	W	P	375	4	Yes	
CRNCAL	C	R	N	C	A	L	1825	9	Yes	
CRNCAM	C	R	N	C	A	M	2819	8	Yes	
CRNCAP	C	R	N	C	A	P	1198	4	Yes	
CRNCAS	C	R	N	C	A	S	189	1	Yes	
CRNCCL	C	R	N	C	C	L	74	8	Yes	
CRNCIL	C	R	N	C	I	L	2085	8	Yes	
CRNCIM	C	R	N	C	I	M	1970	8	Yes	
CRNCIP	C	R	N	C	I	P	756	4	Yes	
CRNCIS	C	R	N	C	I	S	94	1	Yes	
CRNCLL	C	R	N	C	L	L	516	8	Yes	
CRNCLM	C	R	N	C	L	M	1452	8	Yes	
CRNCLP	C	R	N	C	L	P	620	4	Yes	
CRNCLS	C	R	N	C	L	S	51	1	Yes	
CRNCNN	C	R	N	C	N	N	3474	not found	Yes	
CRNCPL	C	R	N	C	P	L	1166	8	Yes	
CRNCPM	C	R	N	C	P	M	1202	8	Yes	
CRNCPP	C	R	N	C	P	P	147	not found	Yes	
CRNCWL	C	R	N	C	W	L	212	8	Yes	
CRNCWM	C	R	N	C	W	M	296	8	Yes	
CRNCWP	C	R	N	C	W	P	141	4	Yes	
CRNHAL	C	R	N	H	A	L	127	9	Yes	
CRNHAM	C	R	N	H	A	M	818	8	Yes	
CRNHAP	C	R	N	H	A	P	713	4	Yes	
CRNHIL	C	R	N	H	I	L	205	8	Yes	
CRNHIM	C	R	N	H	I	M	318	8	Yes	
CRNHIP	C	R	N	H	I	P	223	4	Yes	
CRNHLL	C	R	N	H	L	L	59	8	Yes	
CRNHLM	C	R	N	H	L	M	360	8	Yes	
CRNHLP	C	R	N	H	L	P	266	4	Yes	
CRNHNN	C	R	N	H	N	N	388	not found	Yes	
CRNHWL	C	R	N	H	W	L	97	8	Yes	
CRNHWM	C	R	N	H	W	M	183	8	Yes	
CRNLAL	C	R	N	L	A	L	3051	9	Yes	
CRNLAM	C	R	N	L	A	M	7546	8	Yes	
