strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BNSRDS	B	N	S	R	D	S	0.0	0.0	60.059999999999995	0.0	1.98	3.96
BNSRDM	B	N	S	R	D	M	0.0	0.0	192.01	0.0	6.33	12.66
BNSRDL	B	N	S	R	D	L	0.0	0.0	450.45	0.0	14.85	29.7
BNSRWS	B	N	S	R	W	S	0.0	0.0	495.95	0.0	16.349999999999998	32.699999999999996
BNSRWP	B	N	S	R	W	P	0.0	0.0	597.87	0.0	19.71	39.42
BNSRWM	B	N	S	R	W	M	0.0	0.0	728.9100000000001	0.0	24.029999999999998	48.059999999999995
BNSRWL	B	N	S	R	W	L	0.0	0.0	4578.21	0.0	150.93	301.86
BNSRCS	B	N	S	R	C	S	0.0	0.0	166.53	0.0	5.49	10.98
BNSRCP	B	N	S	R	C	P	412.23	0.0	0.0	0.0	13.59	27.18
BNSRCM	B	N	S	R	C	M	0.0	1680.77	0.0	0.0	55.41	110.82
BNSRCL	B	N	S	R	C	L	0.0	0.0	8082.620000000001	0.0	266.46	532.92
BNSRLL	B	N	S	R	L	L	0.0	0.0	80.08	0.0	2.6399999999999997	5.279999999999999
URNLCL	U	R	N	L	C	L	0.0	0.0	136.5	0.0	4.5	9.0
URNHWL	U	R	N	H	W	L	0.0	0.0	95.55	0.0	3.15	6.3
URNHCL	U	R	N	H	C	L	0.0	0.0	173.81	0.0	5.7299999999999995	11.459999999999999
URNCWL	U	R	N	C	W	L	0.0	0.0	101.92	0.0	3.36	6.72
URNCCL	U	R	N	C	C	L	101.92	0.0	0.0	0.0	3.36	6.72
URNRCL	U	R	N	R	C	L	199.29000000000002	0.0	0.0	0.0	6.569999999999999	13.139999999999999
UROHCL	U	R	O	H	C	L	0.0	0.0	46.41	0.0	1.53	3.06
URORCL	U	R	O	R	C	L	93.72999999999999	0.0	0.0	0.0	3.09	6.18
URPHWL	U	R	P	H	W	L	103.74	0.0	0.0	0.0	3.42	6.84
URPHCL	U	R	P	H	C	L	285.74	0.0	0.0	0.0	9.42	18.84
URPRWS	U	R	P	R	W	S	0.0	0.0	52.78	0.0	1.74	3.48
URPRWP	U	R	P	R	W	P	0.0	0.0	53.69	0.0	1.77	3.54
URPRWL	U	R	P	R	W	L	0.0	0.0	367.64	0.0	12.12	24.24
URPRCM	U	R	P	R	C	M	0.0	0.0	68.25	0.0	2.25	4.5
URPRCL	U	R	P	R	C	L	0.0	0.0	876.33	0.0	28.89	57.78
UNNHWS	U	N	N	H	W	S	0.0	0.0	50.050000000000004	0.0	1.65	3.3
UNNHWL	U	N	N	H	W	L	0.0	0.0	69.16	0.0	2.28	4.56
UNNHCL	U	N	N	H	C	L	0.0	0.0	140.14	0.0	4.62	9.24
UNNRWL	U	N	N	R	W	L	0.0	0.0	106.47	0.0	3.51	7.02
UNNRCL	U	N	N	R	C	L	0.0	0.0	223.86	0.0	7.38	14.76
UNOHWL	U	N	O	H	W	L	0.0	0.0	323.96	0.0	10.68	21.36
UNOHCL	U	N	O	H	C	L	0.0	0.0	755.3000000000001	0.0	24.9	49.8
UNORWL	U	N	O	R	W	L	0.0	0.0	269.36	0.0	8.879999999999999	17.759999999999998
UNORCM	U	N	O	R	C	M	0.0	0.0	73.71	0.0	2.4299999999999997	4.859999999999999
UNORCL	U	N	O	R	C	L	0.0	0.0	867.23	0.0	28.59	57.18
UNPHWL	U	N	P	H	W	L	0.0	0.0	244.79000000000002	0.0	8.07	16.14
UNPHCL	U	N	P	H	C	L	0.0	0.0	462.28	0.0	15.24	30.48
UNPHAL	U	N	P	H	A	L	0.0	0.0	58.239999999999995	0.0	1.92	3.84
UNPRWL	U	N	P	R	W	L	0.0	0.0	461.37	0.0	15.209999999999999	30.419999999999998
UNPRCS	U	N	P	R	C	S	0.0	0.0	50.96	0.0	1.68	3.36
UNPRCM	U	N	P	R	C	M	0.0	0.0	55.510000000000005	0.0	1.8299999999999998	3.6599999999999997
UNPRCL	U	N	P	R	C	L	0.0	0.0	917.28	0.0	30.24	60.48
UNPRAL	U	N	P	R	A	L	0.0	0.0	94.64	0.0	3.12	6.24
UNSHWS	U	N	S	H	W	S	0.0	0.0	1061.06	0.0	34.98	69.96
UNSHWP	U	N	S	H	W	P	0.0	0.0	0.0	139.23	4.59	9.18
UNSHWM	U	N	S	H	W	M	0.0	210.20999999999998	0.0	0.0	6.93	13.86
UNSHWL	U	N	S	H	W	L	0.0	0.0	2001.0900000000001	0.0	65.97	131.94
UNSHCS	U	N	S	H	C	S	0.0	0.0	439.53	0.0	14.49	28.98
UNSHCP	U	N	S	H	C	P	0.0	0.0	163.79999999999998	0.0	5.3999999999999995	10.799999999999999
UNSHCM	U	N	S	H	C	M	0.0	0.0	0.0	294.84	9.719999999999999	19.439999999999998
UNSHCL	U	N	S	H	C	L	0.0	0.0	3898.4399999999996	0.0	128.51999999999998	257.03999999999996
UNSHAS	U	N	S	H	A	S	0.0	171.08	0.0	0.0	5.64	11.28
UNSHAL	U	N	S	H	A	L	0.0	117.39	0.0	0.0	3.8699999999999997	7.739999999999999
UNSHLL	U	N	S	H	L	L	0.0	0.0	133.77	0.0	4.41	8.82
UNSRPL	U	N	S	R	P	L	0.0	0.0	0.0	70.97999999999999	2.34	4.68
UNSRDM	U	N	S	R	D	M	0.0	53.69	0.0	0.0	1.77	3.54
UNSRDL	U	N	S	R	D	L	0.0	0.0	0.0	90.09	2.9699999999999998	5.9399999999999995
UNSRWS	U	N	S	R	W	S	0.0	0.0	872.69	0.0	28.77	57.54
UNSRWP	U	N	S	R	W	P	0.0	151.97	0.0	0.0	5.01	10.02
UNSRWM	U	N	S	R	W	M	0.0	0.0	302.12	0.0	9.959999999999999	19.919999999999998
UNSRWL	U	N	S	R	W	L	0.0	0.0	2694.51	0.0	88.83	177.66
UNSRCS	U	N	S	R	C	S	0.0	0.0	263.90000000000003	0.0	8.7	17.4
UNSRCP	U	N	S	R	C	P	0.0	0.0	236.6	0.0	7.8	15.6
UNSRCM	U	N	S	R	C	M	0.0	0.0	543.27	0.0	17.91	35.82
UNSRCL	U	N	S	R	C	L	0.0	0.0	6191.64	0.0	204.12	408.24
UNSRAS	U	N	S	R	A	S	0.0	0.0	77.35000000000001	0.0	2.55	5.1
UNSRAL	U	N	S	R	A	L	0.0	68.25	0.0	0.0	2.25	4.5
UNSRLL	U	N	S	R	L	L	0.0	0.0	173.81	0.0	5.7299999999999995	11.459999999999999
KRNLPM	K	R	N	L	P	M	0.0	952.77	0.0	0.0	31.41	62.82
KRNLPL	K	R	N	L	P	L	0.0	0.0	187.45999999999998	0.0	6.18	12.36
KRNLDM	K	R	N	L	D	M	0.0	0.0	145.6	0.0	4.8	9.6
KRNLDL	K	R	N	L	D	L	0.0	0.0	0.0	160.16	5.279999999999999	10.559999999999999
KRNLWS	K	R	N	L	W	S	0.0	0.0	86.45	0.0	2.85	5.7
KRNLWP	K	R	N	L	W	P	0.0	426.79	0.0	0.0	14.07	28.14
KRNLWM	K	R	N	L	W	M	0.0	0.0	1995.63	0.0	65.78999999999999	131.57999999999998
KRNLWL	K	R	N	L	W	L	0.0	0.0	3419.78	0.0	112.74	225.48
KRNLCP	K	R	N	L	C	P	0.0	91.91	0.0	0.0	3.03	6.06
KRNLCM	K	R	N	L	C	M	0.0	0.0	983.7099999999999	0.0	32.43	64.86
KRNLCL	K	R	N	L	C	L	0.0	0.0	2373.28	0.0	78.24	156.48
KRNLIS	K	R	N	L	I	S	0.0	0.0	258.44	0.0	8.52	17.04
KRNLIP	K	R	N	L	I	P	0.0	0.0	321.23	0.0	10.59	21.18
KRNLIM	K	R	N	L	I	M	0.0	0.0	0.0	1789.06	58.98	117.96
