index	name	value	reduced_cost
1134	x_B,N,S,R,L,L,4	4.4	0.0
1137	x_U,R,N,L,C,L,2	142.5	0.0
1139	x_U,R,N,L,C,L,4	7.5	0.0
1142	x_U,R,N,H,W,L,2	99.75	0.0
1144	x_U,R,N,H,W,L,4	5.25	0.0
1147	x_U,R,N,H,C,L,2	181.45	0.0
1149	x_U,R,N,H,C,L,4	9.55	0.0
1152	x_U,R,N,C,W,L,2	106.4	0.0
1154	x_U,R,N,C,W,L,4	5.6	0.0
1157	x_U,R,N,C,C,L,2	106.4	0.0
1159	x_U,R,N,C,C,L,4	5.6	0.0
1162	x_U,R,N,R,C,L,2	208.05	0.0
1164	x_U,R,N,R,C,L,4	10.95	0.0
1167	x_U,R,O,H,C,L,2	48.45	0.0
1169	x_U,R,O,H,C,L,4	2.55	0.0
1172	x_U,R,O,R,C,L,2	97.85	0.0
1174	x_U,R,O,R,C,L,4	5.15	0.0
1177	x_U,R,P,H,W,L,2	108.3	0.0
1179	x_U,R,P,H,W,L,4	5.7	0.0
1182	x_U,R,P,H,C,L,2	298.3	0.0
1184	x_U,R,P,H,C,L,4	15.7	0.0
1188	x_U,R,P,R,W,S,3	55.1	0.0
1189	x_U,R,P,R,W,S,4	2.9	0.0
1193	x_U,R,P,R,W,P,3	56.05	0.0
1194	x_U,R,P,R,W,P,4	2.95	0.0
1195	x_U,R,P,R,W,L,0	383.8	0.0
1199	x_U,R,P,R,W,L,4	20.2	0.0
1202	x_U,R,P,R,C,M,2	71.25	0.0
1204	x_U,R,P,R,C,M,4	3.75	0.0
1207	x_U,R,P,R,C,L,2	914.85	0.0
1209	x_U,R,P,R,C,L,4	48.15	0.0
1213	x_U,N,N,H,W,S,3	52.25	0.0
1214	x_U,N,N,H,W,S,4	2.75	0.0
1217	x_U,N,N,H,W,L,2	72.2	0.0
1219	x_U,N,N,H,W,L,4	3.8	0.0
1220	x_U,N,N,H,C,L,0	146.3	0.0
1224	x_U,N,N,H,C,L,4	7.7	0.0
1227	x_U,N,N,R,W,L,2	111.15	0.0
1229	x_U,N,N,R,W,L,4	5.85	0.0
1232	x_U,N,N,R,C,L,2	233.7	0.0
1234	x_U,N,N,R,C,L,4	12.3	0.0
1237	x_U,N,O,H,W,L,2	338.2	0.0
1239	x_U,N,O,H,W,L,4	17.8	0.0
1240	x_U,N,O,H,C,L,0	788.5	0.0
1244	x_U,N,O,H,C,L,4	41.5	0.0
1245	x_U,N,O,R,W,L,0	281.2	0.0
1249	x_U,N,O,R,W,L,4	14.8	0.0
1250	x_U,N,O,R,C,M,0	76.95	0.0
1254	x_U,N,O,R,C,M,4	4.05	0.0
1255	x_U,N,O,R,C,L,0	905.35	0.0
1259	x_U,N,O,R,C,L,4	47.65	0.0
1260	x_U,N,P,H,W,L,0	255.55	0.0
1264	x_U,N,P,H,W,L,4	13.45	0.0
1266	x_U,N,P,H,C,L,1	482.6	0.0
1269	x_U,N,P,H,C,L,4	25.4	0.0
1270	x_U,N,P,H,A,L,0	60.8	0.0
1274	x_U,N,P,H,A,L,4	3.2	0.0
1275	x_U,N,P,R,W,L,0	481.65	0.0
1279	x_U,N,P,R,W,L,4	25.35	0.0
1283	x_U,N,P,R,C,S,3	53.2	0.0
1284	x_U,N,P,R,C,S,4	2.8	0.0
1285	x_U,N,P,R,C,M,0	57.95	0.0
1289	x_U,N,P,R,C,M,4	3.05	0.0
1292	x_U,N,P,R,C,L,2	957.6	0.0
1294	x_U,N,P,R,C,L,4	50.4	0.0
1295	x_U,N,P,R,A,L,0	98.8	0.0
1299	x_U,N,P,R,A,L,4	5.2	0.0
1303	x_U,N,S,H,W,S,3	1107.7	0.0
1304	x_U,N,S,H,W,S,4	58.3	0.0
1308	x_U,N,S,H,W,P,3	145.35	0.0
1309	x_U,N,S,H,W,P,4	7.65	0.0
1310	x_U,N,S,H,W,M,0	219.45	0.0
1314	x_U,N,S,H,W,M,4	11.55	0.0
1315	x_U,N,S,H,W,L,0	2089.05	0.0
1319	x_U,N,S,H,W,L,4	109.95	0.0
1323	x_U,N,S,H,C,S,3	458.85	0.0
1324	x_U,N,S,H,C,S,4	24.15	0.0
