CRPCAL,C,R,P,C,A,L,1055
CRPCAM,C,R,P,C,A,M,2432
CRPCAP,C,R,P,C,A,P,6553
CRPCIL,C,R,P,C,I,L,2382
CRPCIM,C,R,P,C,I,M,1762
CRPCIP,C,R,P,C,I,P,2665
CRPCLL,C,R,P,C,L,L,683
CRPCLM,C,R,P,C,L,M,1879
CRPCLP,C,R,P,C,L,P,2948
CRPCNN,C,R,P,C,N,N,63
CRPCPL,C,R,P,C,P,L,164
CRPCPM,C,R,P,C,P,M,56
CRPCPP,C,R,P,C,P,P,54
CRPCWL,C,R,P,C,W,L,113
CRPCWM,C,R,P,C,W,M,87
CRPHAL,C,R,P,H,A,L,1066
CRPHAM,C,R,P,H,A,M,1632
CRPHAP,C,R,P,H,A,P,3896
CRPHCL,C,R,P,H,C,L,96
CRPHCM,C,R,P,H,C,M,57
CRPHIL,C,R,P,H,I,L,1015
CRPHIM,C,R,P,H,I,M,1234
CRPHIP,C,R,P,H,I,P,1479
CRPHLL,C,R,P,H,L,L,1057
CRPHLM,C,R,P,H,L,M,2163
CRPHLP,C,R,P,H,L,P,2639
CRPHWL,C,R,P,H,W,L,77
CRPHWM,C,R,P,H,W,M,87
CRPLAL,C,R,P,L,A,L,1454
CRPLAM,C,R,P,L,A,M,2729
CRPLAP,C,R,P,L,A,P,8858
CRPLAS,C,R,P,L,A,S,63
CRPLCL,C,R,P,L,C,L,61
CRPLIL,C,R,P,L,I,L,1837
CRPLIM,C,R,P,L,I,M,1919
CRPLIP,C,R,P,L,I,P,3662
CRPLLL,C,R,P,L,L,L,758
CRPLLM,C,R,P,L,L,M,1623
CRPLLP,C,R,P,L,L,P,3424
CRPLNN,C,R,P,L,N,N,120
CRPLWL,C,R,P,L,W,L,229
CRPLWM,C,R,P,L,W,M,72
CRPLWP,C,R,P,L,W,P,57
CRPRAL,C,R,P,R,A,L,1788
CRPRAM,C,R,P,R,A,M,2080
CRPRAP,C,R,P,R,A,P,2147
CRPRAS,C,R,P,R,A,S,433
CRPRCL,C,R,P,R,C,L,63
CRPRDM,C,R,P,R,D,M,53
CRPRIL,C,R,P,R,I,L,2336
CRPRIM,C,R,P,R,I,M,1833
CRPRIP,C,R,P,R,I,P,1248
CRPRIS,C,R,P,R,I,S,97
CRPRLL,C,R,P,R,L,L,867
CRPRLM,C,R,P,R,L,M,1368
CRPRLP,C,R,P,R,L,P,1636
CRPRNN,C,R,P,R,N,N,151
CRPRPL,C,R,P,R,P,L,160
CRPRPM,C,R,P,R,P,M,209
CRPRWL,C,R,P,R,W,L,144
CRPRWM,C,R,P,R,W,M,332
CRPRWP,C,R,P,R,W,P,62
KNNCAL,K,N,N,C,A,L,6669
KNNCAM,K,N,N,C,A,M,3423
KNNCAP,K,N,N,C,A,P,750
KNNCAS,K,N,N,C,A,S,288
KNNCCL,K,N,N,C,C,L,9272
KNNCCM,K,N,N,C,C,M,2046
KNNCCP,K,N,N,C,C,P,422
KNNCCS,K,N,N,C,C,S,334
KNNCDL,K,N,N,C,D,L,11926
KNNCDM,K,N,N,C,D,M,4272
KNNCDP,K,N,N,C,D,P,1005
KNNCDS,K,N,N,C,D,S,1121
KNNCIL,K,N,N,C,I,L,16276
KNNCIM,K,N,N,C,I,M,14311
KNNCIP,K,N,N,C,I,P,1970
KNNCIS,K,N,N,C,I,S,833
KNNCLL,K,N,N,C,L,L,3479
KNNCLM,K,N,N,C,L,M,2686
KNNCLP,K,N,N,C,L,P,664
KNNCLS,K,N,N,C,L,S,90
KNNCNL,K,N,N,C,N,L,130
KNNCNN,K,N,N,C,N,N,73351
KNNCPL,K,N,N,C,P,L,24346
KNNCPM,K,N,N,C,P,M,20251
KNNCPP,K,N,N,C,P,P,3479
KNNCPS,K,N,N,C,P,S,1195
KNNCWL,K,N,N,C,W,L,16388
KNNCWM,K,N,N,C,W,M,9736
