Index	Name	Value	Reduced Cost
1037	x_B,N,S,R,D,M,4	6.33	 
1039	x_B,N,S,R,D,L,1	480.15	 
1042	x_B,N,S,R,D,L,4	14.85	 
1043	x_B,N,S,R,W,S,0	528.65	 
1047	x_B,N,S,R,W,S,4	16.35	 
1048	x_B,N,S,R,W,P,0	637.29	 
1052	x_B,N,S,R,W,P,4	19.71	 
1053	x_B,N,S,R,W,M,0	776.97	 
1057	x_B,N,S,R,W,M,4	24.03	 
1058	x_B,N,S,R,W,L,0	4880.07	 
1062	x_B,N,S,R,W,L,4	150.93	 
1063	x_B,N,S,R,C,S,0	177.51	 
1067	x_B,N,S,R,C,S,4	5.49	 
1068	x_B,N,S,R,C,P,0	439.41	 
1072	x_B,N,S,R,C,P,4	13.59	 
1073	x_B,N,S,R,C,M,0	1791.59	 
1077	x_B,N,S,R,C,M,4	55.41	 
1078	x_B,N,S,R,C,L,0	8615.54	 
1082	x_B,N,S,R,C,L,4	266.46	 
1085	x_B,N,S,R,L,L,2	83.6	 
1087	x_B,N,S,R,L,L,4	4.4	 
1088	x_U,R,N,L,C,L,0	145.5	 
1092	x_U,R,N,L,C,L,4	4.5	 
1093	x_U,R,N,H,W,L,0	101.85	 
1097	x_U,R,N,H,W,L,4	3.15	 
1098	x_U,R,N,H,C,L,0	185.27	 
1102	x_U,R,N,H,C,L,4	5.73	 
1103	x_U,R,N,C,W,L,0	108.64	 
1107	x_U,R,N,C,W,L,4	3.36	 
1108	x_U,R,N,C,C,L,0	108.64	 
1112	x_U,R,N,C,C,L,4	3.36	 
1113	x_U,R,N,R,C,L,0	212.43	 
1117	x_U,R,N,R,C,L,4	6.57	 
1118	x_U,R,O,H,C,L,0	49.47	 
1122	x_U,R,O,H,C,L,4	1.53	 
1123	x_U,R,O,R,C,L,0	99.91	 
1127	x_U,R,O,R,C,L,4	3.09	 
1128	x_U,R,P,H,W,L,0	110.58	 
1132	x_U,R,P,H,W,L,4	3.42	 
1133	x_U,R,P,H,C,L,0	304.58	 
1137	x_U,R,P,H,C,L,4	9.42	 
1141	x_U,R,P,R,W,S,3	56.26	 
1142	x_U,R,P,R,W,S,4	1.74	 
1146	x_U,R,P,R,W,P,3	57.23	 
1147	x_U,R,P,R,W,P,4	1.77	 
1148	x_U,R,P,R,W,L,0	391.88	 
1152	x_U,R,P,R,W,L,4	12.12	 
1155	x_U,R,P,R,C,M,2	72.75	 
1157	x_U,R,P,R,C,M,4	2.25	 
1158	x_U,R,P,R,C,L,0	934.11	 
1162	x_U,R,P,R,C,L,4	28.89	 
1166	x_U,N,N,H,W,S,3	53.35	 
1167	x_U,N,N,H,W,S,4	1.65	 
