Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CRPRWM	C	R	P	R	W	M	332	8	Yes	
KNNCAM	K	N	N	C	A	M	3423	8	Yes	
KNNCCL	K	N	N	C	C	L	9272	8	Yes	
KNNCCM	K	N	N	C	C	M	2046	8	Yes	
KNNCDL	K	N	N	C	D	L	11926	8	Yes	
KNNCDM	K	N	N	C	D	M	4272	8	Yes	
KNNCIL	K	N	N	C	I	L	16276	8	Yes	
KNNCIM	K	N	N	C	I	M	14311	8	Yes	
KNNCLL	K	N	N	C	L	L	3479	8	Yes	
KNNCLM	K	N	N	C	L	M	2686	8	Yes	
KNNCPL	K	N	N	C	P	L	24346	8	Yes	
KNNCPM	K	N	N	C	P	M	20251	8	Yes	
KNNCWL	K	N	N	C	W	L	16388	8	Yes	
KNNCWM	K	N	N	C	W	M	9736	8	Yes	
KNNHAM	K	N	N	H	A	M	69	8	Yes	
KNNHIL	K	N	N	H	I	L	66	8	Yes	
KNNHIM	K	N	N	H	I	M	103	8	Yes	
KNNHLM	K	N	N	H	L	M	55	8	Yes	
KNNHPM	K	N	N	H	P	M	65	8	Yes	
KNNHWM	K	N	N	H	W	M	54	8	Yes	
KNNLAM	K	N	N	L	A	M	2155	8	Yes	
KNNLCL	K	N	N	L	C	L	6685	8	Yes	
KNNLCM	K	N	N	L	C	M	1857	8	Yes	
KNNLDL	K	N	N	L	D	L	2622	8	Yes	
KNNLDM	K	N	N	L	D	M	1068	8	Yes	
KNNLIL	K	N	N	L	I	L	5152	8	Yes	
KNNLIM	K	N	N	L	I	M	2908	8	Yes	
KNNLLL	K	N	N	L	L	L	817	8	Yes	
KNNLLM	K	N	N	L	L	M	919	8	Yes	
KNNLPL	K	N	N	L	P	L	3075	8	Yes	
KNNLPM	K	N	N	L	P	M	2494	8	Yes	
KNNLWL	K	N	N	L	W	L	7524	8	Yes	
KNNLWM	K	N	N	L	W	M	3554	8	Yes	
KNNRAM	K	N	N	R	A	M	275	8	Yes	
KNNRCL	K	N	N	R	C	L	1102	8	Yes	
KNNRCM	K	N	N	R	C	M	436	8	Yes	
KNNRDL	K	N	N	R	D	L	3040	8	Yes	
KNNRDM	K	N	N	R	D	M	1424	8	Yes	
